,ID,CD_GEOCODIGO,TIPO,CD_GEOCODBA,NM_BAIRRO,CD_GEOCODSD,NM_SUBDISTRITO,CD_GEOCODDS,NM_DISTRITO,CD_GEOCODMU,NM_MUNICIPIO,NM_MICRO,NM_MESO,NM_UF,CD_NIVEL,CD_CATEGORIA,NM_CATEGORIA,NM_LOCALIDADE,LONG,LAT,ALT,GM_PONTO_sk
,13955,315550410000004,RURAL,,,31555041000,,315550410,ABAETÉ DOS MENDES,3155504,RIO PARANAÍBA,PATOS DE MINAS,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,3,00004,POVOADO,CHAVES,-46.20342378,-19.07795611,1134.637907,1J6ePl6\Ej*f
,13956,315560305000001,URBANO,,,31556030500,,315560305,RIO PARDO DE MINAS,3155603,RIO PARDO DE MINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,1,05,CIDADE,RIO PARDO DE MINAS,-42.54123198,-15.61307802,795.873215,1J6E.Mw.U9B>
,13957,315560305000029,RURAL,,,31556030500,,315560305,RIO PARDO DE MINAS,3155603,RIO PARDO DE MINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00002,POVOADO,NOVA AURORA,-42.67076577,-15.90539252,1017.480551,1J6E\EY+O6tf
,13958,315560325000001,URBANO,,,31556032500,,315560325,SERRA NOVA,3155603,RIO PARDO DE MINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,2,25,VILA,SERRA NOVA,-42.7340864,-15.63829888,838.344373,1J6E\69X3*M-
,13959,315560325000008,RURAL,,,31556032500,,315560325,SERRA NOVA,3155603,RIO PARDO DE MINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00003,POVOADO,NATANAEL,-42.74355543,-15.86909369,789.792044,1J6E\edcOQW>
,13960,315570205000001,URBANO,,,31557020500,,315570205,RIO PIRACICABA,3155702,RIO PIRACICABA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,1,05,CIDADE,RIO PIRACICABA,-43.17982375,-19.95494117,624.944568,"1J6T,.HhWh9p"
,13961,315570210000001,URBANO,,,31557021000,,315570210,CONCEIÇÃO DE PIRACICABA,3155702,RIO PIRACICABA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,10,VILA,CONCEIÇÃO DE PIRACICABA,-43.09222505,-19.90190779,693.698092,"1J6T,?*1j;S>"
,13962,315570215000001,URBANO,,,31557021500,,315570215,PADRE PINTO,3155702,RIO PIRACICABA,ITABIRA,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,15,VILA,PADRE PINTO,-43.09432559,-20.00335428,741.2707,"1J6T,{]o1hhf"
,13963,315580105000001,URBANO,,,31558010500,,315580105,RIO POMBA,3155801,RIO POMBA,UBÁ,ZONA DA MATA,MINAS GERAIS,1,05,CIDADE,RIO POMBA,-43.17780565,-21.27219061,441.185836,1J6T^_\;=\)-
,13964,315590005000001,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,1,05,CIDADE,RIO PRETO,-43.82946567,-22.08692225,463.223441,1J6tTl;lHLKp
,13965,315590005000008,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,6,001,AUI,SÃO PEDRO,-43.88632876,-22.11016861,444.164152,1J6ttybDQAH>
,13966,315590005000009,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,6,002,AUI,SÃO LUIZ,-43.90343118,-22.1175895,436.275052,1J6ttyJ)yz{f
,13967,315590005000010,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,6,003,AUI,SÃO CRISTÓVÃO,-43.94754052,-22.09170929,690.631425,1J6ttY8+O_Op
,13968,315590005000011,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,6,004,AUI,ENCRUZILHADA,-43.97000732,-21.98244186,960.602677,1J6tttrHjg.f
,13969,315590005000012,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,6,005,AUI,FUNIL,-43.88953923,-22.00711327,901.443899,1J6ttu1AUryp
,13970,315590005000013,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,6,006,AUI,SANTO ANTÔNIO,-43.84153407,-22.0617666,740.930112,1J6tTHL4BDjf
,13971,315590005000014,URBANO,,,31559000500,,315590005,RIO PRETO,3155900,RIO PRETO,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,6,007,AUI,PORTO DOS ÍNDIOS,-43.71498515,-22.08047085,425.056764,1J6tTL7.3WOf
,13972,315600705000001,URBANO,,,31560070500,,315600705,RIO VERMELHO,3156007,RIO VERMELHO,CONCEIÇÃO DO MATO DENTRO,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,1,05,CIDADE,RIO VERMELHO,-43.0224391,-18.30111057,721.124789,1J6El=HTe]up
,13973,315600710000001,URBANO,,,31560071000,,315600710,PEDRA MENINA,3156007,RIO VERMELHO,CONCEIÇÃO DO MATO DENTRO,METROPOLITANA DE BELO HORIZONTE,MINAS GERAIS,2,10,VILA,PEDRA MENINA,-43.11327315,-18.1148565,916.664736,1J6El.9jjT4>
,13974,315610605000001,URBANO,,,31561060500,,315610605,RITÁPOLIS,3156106,RITÁPOLIS,SÃO JOÃO DEL REI,CAMPO DAS VERTENTES,MINAS GERAIS,1,05,CIDADE,RITÁPOLIS,-44.32347752,-21.02325327,1011.68893,1J6tdMZJ\*ip
,13975,315620505000001,URBANO,,,31562050500,,315620505,ROCHEDO DE MINAS,3156205,ROCHEDO DE MINAS,JUIZ DE FORA,ZONA DA MATA,MINAS GERAIS,1,05,CIDADE,ROCHEDO DE MINAS,-43.02206851,-21.63145963,337.011633,1J6Tg;*\gU*f
,13976,315630405000001,URBANO,,,31563040500,,315630405,RODEIRO,3156304,RODEIRO,UBÁ,ZONA DA MATA,MINAS GERAIS,1,05,CIDADE,RODEIRO,-42.86867626,-21.20070508,336.320799,1J6T^B]<ew;f
,13977,315640305000001,URBANO,,,31564030500,,315640305,ROMARIA,3156403,ROMARIA,PATROCÍNIO,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,1,05,CIDADE,ROMARIA,-47.5817549,-18.88348003,944.428878,1J6eme=ijL6p
,13978,315645205000001,URBANO,,,31564520500,,315645205,ROSÁRIO DA LIMEIRA,3156452,ROSÁRIO DA LIMEIRA,MURIAÉ,ZONA DA MATA,MINAS GERAIS,1,05,CIDADE,ROSÁRIO DA LIMEIRA,-42.50605997,-20.9812982,745.446419,1J6T]ME7t6\>
